,Artist,Total Views,100M,Avg
0,BTS,"27,947.9",63.0,7.37
1,Bad Bunny,"27,573.4",66.0,14.56
2,Justin Bieber,"27,399.7",37.0,3.99
3,Ed Sheeran,"26,894.0",39.0,4.61
4,Taylor Swift,"24,350.0",38.0,5.72
5,Shakira,"23,961.8",43.0,7.84
6,Katy Perry,"23,553.4",25.0,3.18
7,Ozuna,"22,524.8",49.0,4.93
8,Eminem,"20,937.7",38.0,5.84
9,Ariana Grande,"20,618.5",37.0,3.37
10,Daddy Yankee,"20,485.2",41.0,4.54
11,J Balvin,"20,436.9",34.0,3.19
12,Blackpink,"20,082.0",32.0,8.63
13,Maroon 5,"19,430.1",30.0,3.26
14,Rihanna,"18,683.8",33.0,3.91
15,Maluma,"18,479.8",30.0,3.11
16,The Weeknd,"17,668.9",30.0,8.52
17,Bruno Mars,"16,897.5",20.0,4.19
18,Marília Mendonça,"16,515.8",53.0,6.4
19,Enrique Iglesias,"16,395.2",29.0,2.66
20,David Guetta,"15,484.6",29.0,3.74
21,Nicky Jam,"14,982.5",29.0,1.67
22,Coldplay,"14,849.0",21.0,4.05
23,Beyoncé,"14,681.4",37.0,2.95
24,Calvin Harris,"14,270.5",22.0,2.09
25,Luis Fonsi,"14,242.4",12.0,1.57
26,Romeo Santos,"14,113.2",26.0,4.77
27,Marshmello,"14,020.7",29.0,2.72
28,Karol G,"13,981.8",26.0,6.59
29,Imagine Dragons,"13,444.2",18.0,4.88
30,Henrique e Juliano,"13,210.1",37.0,4.97
31,Chris Brown,"13,165.0",37.0,3.84
32,Lady Gaga,"13,156.0",28.0,4.27
33,Gusttavo Lima,"12,899.1",35.0,4.19
34,The Chainsmokers,"12,561.5",19.0,1.6
35,Guru Randhawa,"12,413.4",33.0,21.63
36,Alan Walker,"12,329.8",18.0,2.47
37,Adele,"12,329.6",17.0,2.6
38,Wiz Khalifa,"12,175.3",13.0,1.9
39,Anuel AA,"12,111.8",23.0,7.48
40,Pitbull,"11,989.9",21.0,2.08
41,One Direction,"11,904.4",18.0,1.78
