,uf,codigo_ibge,nome,latitude,longitude,capital,siafi_id,ddd,fuso_horario
2886,AC,1200336,Mâncio Lima,-7.61657,-72.8997,0,109,68,America/Rio_Branco
2608,AC,1200328,Jordão,-9.1908,-71.9503,0,653,68,America/Rio_Branco
796,AC,1200138,Bujari,-9.81528,-67.955,0,645,68,America/Rio_Branco
753,AC,1200104,Brasiléia,-10.995,-68.7497,0,105,68,America/Rio_Branco
410,AC,1200054,Assis Brasil,-10.9298,-69.5738,0,157,68,America/Rio_Branco
1485,AC,1200203,Cruzeiro do Sul,-7.62762,-72.6756,0,107,68,America/Rio_Branco
2900,AC,1200344,Manoel Urbano,-8.83291,-69.2679,0,155,68,America/Rio_Branco
5560,AC,1200708,Xapuri,-10.6516,-68.4969,0,149,68,America/Rio_Branco
3946,AC,1200807,Porto Acre,-9.58138,-67.5478,0,649,68,America/Rio_Branco
4193,AC,1200401,Rio Branco,-9.97499,-67.8243,1,139,68,America/Rio_Branco
26,AC,1200013,Acrelândia,-9.82581,-66.8972,0,643,68,America/Rio_Branco
4970,AC,1200450,Senador Guiomard,-10.1497,-67.7362,0,153,68,America/Rio_Branco
4962,AC,1200500,Sena Madureira,-9.06596,-68.6571,0,145,68,America/Rio_Branco
1678,AC,1200252,Epitaciolândia,-11.0188,-68.7341,0,651,68,America/Rio_Branco
3980,AC,1200393,Porto Walter,-8.26323,-72.7537,0,657,68,America/Rio_Branco
4261,AC,1200427,Rodrigues Alves,-7.73864,-72.661,0,659,68,America/Rio_Branco
3873,AC,1200385,Plácido de Castro,-10.2806,-67.1371,0,151,68,America/Rio_Branco
4474,AC,1200435,Santa Rosa do Purus,-9.44652,-70.4902,0,661,68,America/Rio_Branco
1082,AC,1200179,Capixaba,-10.566,-67.686,0,647,68,America/Rio_Branco
5177,AC,1200609,Tarauacá,-8.15697,-70.7722,0,147,68,America/Rio_Branco
1756,AC,1200302,Feijó,-8.17054,-70.351,0,113,68,America/Rio_Branco
2946,AC,1200351,Marechal Thaumaturgo,-8.93898,-72.7997,0,655,68,America/Rio_Branco
2684,AL,2704104,Lagoa da Canoa,-9.83291,-36.7413,0,2781,82,America/Sao_Paulo
4849,AL,2708600,São Miguel dos Campos,-9.78301,-36.0971,0,2871,82,America/Sao_Paulo
3162,AL,2705408,Monteirópolis,-9.60357,-37.2505,0,2807,82,America/Sao_Paulo
4850,AL,2708709,São Miguel dos Milagres,-9.26493,-35.3763,0,2873,82,America/Sao_Paulo
4285,AL,2707800,Roteiro,-9.83503,-35.9782,0,2855,82,America/Sao_Paulo
1375,AL,2702207,Coqueiro Seco,-9.63715,-35.7994,0,2743,82,America/Sao_Paulo
1314,AL,2702108,Colônia Leopoldina,-8.91806,-35.7214,0,2741,82,America/Sao_Paulo
1144,AL,2701803,Carneiros,-9.48476,-37.3773,0,2735,82,America/Sao_Paulo
2639,AL,2703908,Jundiá,-8.93297,-35.5669,0,2777,82,America/Sao_Paulo
2642,AL,2704005,Junqueiro,-9.90696,-36.4803,0,2779,82,America/Sao_Paulo
3614,AL,2706422,Pariconha,-9.25634,-37.9988,0,2645,82,America/Sao_Paulo
1909,AL,2702900,Girau do Ponciano,-9.88404,-36.8316,0,2757,82,America/Sao_Paulo
1298,AL,2702009,Coité do Nóia,-9.63348,-36.5845,0,2739,82,America/Sao_Paulo
2599,AL,2703809,Joaquim Gomes,-9.1328,-35.7474,0,2775,82,America/Sao_Paulo
3617,AL,2706448,Paripueira,-9.46313,-35.552,0,2641,82,America/Sao_Paulo
1241,AL,2701902,Chã Preta,-9.2556,-36.2983,0,2737,82,America/Sao_Paulo
3637,AL,2706505,Passo de Camaragibe,-9.24511,-35.4745,0,2829,82,America/Sao_Paulo
5145,AL,2709004,Tanque d'Arca,-9.53379,-36.4366,0,2879,82,America/Sao_Paulo
3676,AL,2706604,Paulo Jacinto,-9.36792,-36.3672,0,2831,82,America/Sao_Paulo
1430,AL,2702306,Coruripe,-10.1276,-36.1717,0,2745,82,America/Sao_Paulo
3022,AL,2705101,Matriz de Camaragibe,-9.15437,-35.5243,0,2801,82,America/Sao_Paulo
3954,AL,2707305,Porto Calvo,-9.05195,-35.3987,0,2845,82,America/Sao_Paulo
1792,AL,2702801,Flexeiras,-9.27281,-35.7139,0,2755,82,America/Sao_Paulo
3224,AL,2705507,Murici,-9.30682,-35.9428,0,2809,82,America/Sao_Paulo
3453,AL,2706000,Olivença,-9.51954,-37.1954,0,2819,82,America/Sao_Paulo
1768,AL,2702702,Feliz Deserto,-10.2935,-36.3028,0,2753,82,America/Sao_Paulo
1759,AL,2702603,Feira Grande,-9.89859,-36.6815,0,2751,82,America/Sao_Paulo
3972,AL,2707503,Porto Real do Colégio,-10.1849,-36.8376,0,2849,82,America/Sao_Paulo
3437,AL,2705705,Olho d'Água das Flores,-9.53686,-37.2971,0,2813,82,America/Sao_Paulo
2472,AL,2703403,Jacaré dos Homens,-9.63545,-37.2076,0,2767,82,America/Sao_Paulo
4943,AL,2708907,Satuba,-9.56911,-35.8227,0,2877,82,America/Sao_Paulo
1719,AL,2702553,Estrela de Alagoas,-9.39089,-36.7644,0,2643,82,America/Sao_Paulo
2483,AL,2703502,Jacuípe,-8.83951,-35.4591,0,2769,82,America/Sao_Paulo
3482,AL,2706109,Ouro Branco,-9.15884,-37.3556,0,2821,82,America/Sao_Paulo
4976,AL,2708956,Senador Rui Palmeira,-9.46986,-37.4576,0,2891,82,America/Sao_Paulo
4887,AL,2708808,São Sebastião,-9.93043,-36.559,0,2875,82,America/Sao_Paulo
2521,AL,2703601,Japaratinga,-9.08746,-35.2634,0,2771,82,America/Sao_Paulo
3518,AL,2706208,Palestina,-9.67493,-37.339,0,2823,82,America/Sao_Paulo
